Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
98,104000,39655,"University of Minnesota, Twin Cities",Minneapolis,MN,Public,,51848,17696,8760,50,45796,28.5,,1270,1480,26,31,,www.umn.edu,,,
99,100700,44978,University of Georgia,Athens,GA,Public,,37606,19759,10076,54,30690,28.5,,1200,1370,26,31,,www.uga.edu,,,
100,117800,65384,Case Western Reserve University,Cleveland,OH,Private,,11824,13068,28295,33,5292,31.5,,1340,1520,30,33,,www.case.edu,,,
101,99700,69450,Skidmore College,Saratoga Springs,NY,Private,,2835,20210,41746,25,2684,29,,1205,1400,27,31,,www.skidmore.edu,,,
102,105700,71756,Occidental College,Los Angeles,CA,Private,,2123,16892,35704,42,1972,29.5,,1280,1440,27,32,,www.oxy.edu,,,
103,115700,53848,"Texas A&amp;M University, College Station",College Station,TX,Public,,67929,13770,8748,71,53515,27.5,,1140,1360,25,30,,www.tamu.edu,,,
104,117500,68610,Union College (NY),Schenectady,NY,Private,,2267,13200,29135,37,2214,0,,,,,,,www.union.edu,,,
105,104900,69820,Reed College,Portland,OR,Private,,1490,17229,35130,36,1470,31.5,,1310,1500,30,33,,www.reed.edu,,,
106,105300,69764,Tulane University,New Orleans,LA,Private,,12384,17058,33035,21,8873,31.5,,1330,1490,30,33,,www.tulane.edu,,,
107,116600,66180,Bentley University,Waltham,MA,Private,,5543,13560,26565,44,4352,29,,1210,1380,27,31,,www.bentley.edu,,,
108,114000,44024,Virginia Tech,Blacksburg,VA,Public,,34440,14163,8261,70,26634,27.5,,1180,1360,25,30,,vt.edu,,,
109,110900,71470,Trinity College (CT),Hartford,CT,Private,,2401,14763,40346,34,2282,30,,1260,1420,28,32,,www.trincoll.edu/Pages/default.aspx,,,
110,135800,65031,Rose-Hulman Institute of Technology,Terre Haute,IN,Private,,2254,9443,20967,61,2245,29.5,,1260,1450,27,32,,www.rose-hulman.edu,,,
111,95300,68410,Bryn Mawr College,Bryn Mawr,PA,Private,,1640,22968,37710,38,1442,31,,1310,1500,29,33,,www.brynmawr.edu,,,
112,100600,67620,Rhode Island School of Design,Providence,RI,Private,,2440,19786,26169,32,2030,28,,1130,1370,25,31,,www.risd.edu,,,
113,134100,70132,Rensselaer Polytechnic Institute,Troy,NY,Private,,7592,9733,30596,43,6371,30,,1320,1500,28,32,,www.rpi.edu,,,
114,109700,70430,Franklin and Marshall College,Lancaster,PA,Private,,2440,15307,43377,34,2283,0,,,,,,,fandm.edu,,,
115,119500,39033,"California Polytechnic State University, San Luis Obispo",San Luis Obispo,CA,Public,,22370,12763,5891,35,21098,28.5,,1200,1380,26,31,,calpoly.edu,,,
116,101900,58330,St. Olaf College,Northfield,MN,Private,,3137,18605,28573,43,3035,28,,1150,1400,25,31,,wp.stolaf.edu,,,
117,105500,51572,Pennsylvania State University,State College,PA,Public,,47119,16960,10060,50,43709,27.5,,1160,1340,25,30,,www.psu.edu,,,
118,110000,41614,Purdue University,West Lafayette,IN,Public,,42699,15006,10703,57,32534,28,,1150,1380,25,31,,www.purdue.edu,,,
119,97400,62600,The Juilliard School,New York,NY,Private,,927,21460,29417,6,590,0,,,,,,,,,,
120,100100,69071,Dickinson College,Carlisle,PA,Private,,2422,20050,34171,49,2382,0,,,,,,,www.dickinson.edu,,,
121,98600,46141,Ohio State University,Columbus,OH,Public,,59837,20767,9730,48,49185,29,,1260,1450,27,31,,www.osu.edu,,,
122,99700,47696,Wheaton College (IL),Wheaton,IL,Private,,2900,20237,16173,85,2544,29.5,,1230,1410,27,32,,www.wheaton.edu,,,
123,111000,47518,Rutgers University,New Brunswick,NJ,Public,,49577,14744,13896,58,40523,0,,1190,1400,,,,www.rutgers.edu,,,
124,113300,64735,Loyola Marymount University,Los Angeles,CA,Private,,9618,14327,19787,52,6591,28.5,,1180,1360,26,31,,www.lmu.edu,,,
125,104900,59236,University of Portland,Portland,OR,Private,,4396,17296,23282,70,3967,26,,1140,1320,23,29,,www.up.edu,,,
126,102900,64234,American University,Washington,DC,Private,,13858,18181,29412,29,8606,28,,1180,1350,26,30,,www.american.edu,,,
127,98800,63706,Furman University,Greenville,SC,Private,,2949,20605,30434,61,2863,28.5,,1190,1380,26,31,,www2.furman.edu/Pages/default.aspx,,,
128,100800,69440,Connecticut College,New London,CT,Private,,1928,19720,39603,38,1817,0,,,,,,,www.conncoll.edu,,,
129,103900,70862,Pepperdine University,Malibu,CA,Private,,7710,17705,31980,40,3803,28.5,,1200,1390,26,31,,www.pepperdine.edu,,,
130,105200,53112,University of Connecticut,Storrs,CT,Public,,27578,17074,13630,48,20662,28.5,,1210,1390,26,31,,uconn.edu,,,
131,97100,48739,"Indiana University, Bloomington",Bloomington,IN,Public,,43710,21836,11647,76,41317,28,,1140,1350,25,31,,www.indiana.edu,,,
132,101000,62567,DePauw University,Greencastle,IN,Private,,2253,19431,31570,67,2158,26.5,,1110,1330,24,29,,www.depauw.edu,,,
133,93700,49642,Elon University,Elon,NC,Private,,6791,23891,14061,67,6214,27,,1140,1330,25,29,,www.elon.edu,,,
134,106700,50516,Clemson University,Clemson,SC,Public,,24387,16314,10296,47,19506,29,,1220,1390,27,31,,www.clemson.edu,,,
135,116900,64325,Fairfield University,Fairfield,CT,Private,,5192,13378,24180,61,4511,0,,,,,,,www.fairfield.edu,,,
136,102600,42522,James Madison University,Harrisonburg,VA,Public,,21836,18517,8556,75,21167,25.5,,1100,1260,23,28,,www.jmu.edu,,,
137,92100,63900,Mount Holyoke College,South Hadley,MA,Private,,2393,24808,31370,51,2334,31,,1270,1463,29,33,,https://www.mtholyoke.edu,,,
