Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
391,84800,47734,Lipscomb University,Nashville,TN,Private,,4642,32829,18955,60,3705,26,,1060,1330,23,29,,https://www.lipscomb.edu,,,
392,91400,48538,Carroll College,Helena,MT,Private,,1415,25322,20475,78,1362,25,,1080,1270,22,28,,www.carroll.edu,,,
393,84900,50632,Berry College,Mount Berry,GA,Private,,2138,32721,21883,62,2110,26.5,,1120,1300,24,29,,www.berry.edu,,,
394,89700,58490,Elizabethtown College,Elizabethtown,PA,Private,,1766,27200,27431,74,1735,24.5,,1070,1280,22,27,,www.etown.edu,,,
395,86800,49104,College of St. Scholastica,Duluth,MN,Private,,4276,30142,23314,68,3143,23,,1020,1300,19,27,,css.edu,,,
396,88400,45458,Augustana University,Sioux Falls,SD,Private,,2080,28285,21816,68,1743,26,,1070,1290,23,29,,www.augie.edu,,,
397,100700,29277,Louisiana Tech University,Ruston,LA,Public,,12839,19779,10650,65,12708,24.5,,870,1100,22,27,,www.latech.edu,,,
398,89600,48902,George Fox University,Newberg,OR,Private,,4076,27331,17754,82,2821,24,,1050,1270,21,27,,www.georgefox.edu,,,
399,96000,33017,University of North Dakota,Grand Forks,ND,Public,,14406,22667,4640,83,13957,23.5,,1050,1270,21,26,,und.edu,,,
400,107800,64982,Pace University,New York,NY,Private,,12986,15872,28509,80,10063,24,,1040,1220,21,27,,www.pace.edu,,,
401,89100,40086,University of Mississippi,University,MS,Public,,23136,27508,9642,84,20940,25.5,,1070,1290,22,29,,www.olemiss.edu,,,
402,91000,68993,California Institute of the Arts,,CA,Private,,1498,25629,15401,24,991,0,,,,,,,,,,
403,92000,56712,Linfield College,McMinnville,OR,Private,,1692,24993,25864,81,1535,23,,1020,1210,20,26,,www.linfield.edu,,,
404,84200,63574,Berklee College of Music,,MA,Private,,6952,33120,19811,53,6762,0,,,,,,,,,,
405,85300,31872,University of Northern Iowa,Cedar Falls,IA,Public,,11861,31956,4677,81,11334,23.5,,1080,1360,21,26,,www.uni.edu,,,
406,120400,35153,New Mexico Institute of Mining and Technology,Socorro,NM,Public,,2009,12745,6883,22,1707,26,,1190,1390,23,29,,www.nmt.edu,,,
407,106600,59865,St. John's University (NY),Queens,NY,Private,,21340,16416,25628,68,17861,25.5,,1060,1250,22,29,,www.stjohns.edu/contact.stj,,,
408,109300,46983,University of Massachusetts Lowell,Lowell,MA,Public,,18315,15506,9817,69,16407,26.5,,1130,1310,24,29,,www.uml.edu,,,
409,118500,28770,South Dakota School of Mines and Technology,Rapid City,SD,Public,,2885,12970,4230,83,2778,26.5,,1150,1353,24,29,,https://www.sdsmt.edu,,,
410,90600,59810,Goucher College,Baltimore,MD,Private,,2236,26239,29040,79,1508,0,,,,,,,www.goucher.edu,,,
411,99100,36674,"CUNY, The City College of New York",New York,NY,Public,,16001,20517,9669,46,15842,0,,1040,1240,,,,www.ccny.cuny.edu,,,
412,80500,46544,Nebraska Wesleyan University,Lincoln,NE,Private,,3703,36413,18976,71,2064,25,,1040,1300,22,28,,www.nebrwesleyan.edu,,,
413,93500,12322,Brigham Young University-Idaho,Rexburg,ID,Private,,69458,24034,4070,95,51881,22.5,,990,1180,20,25,,www.byui.edu,,,
414,98000,52980,Valparaiso University,Valparaiso,IN,Private,,4026,21109,26441,84,3531,26,,1060,1270,23,29,,www.valpo.edu,,,
415,102600,58675,Lake Forest College,Lake Forest,IL,Private,,1640,18504,31022,53,1542,0,,,,,,,www.lakeforest.edu,,,
416,85700,52396,Azusa Pacific University,Azusa,CA,Private,,9926,31039,21186,60,6263,24,,990,1220,21,27,,www.apu.edu,,,
417,97300,32311,"California State University, Fresno",Fresno,CA,Public,,25325,21556,10267,59,23020,19,,910,1110,16,22,,www.fresnostate.edu,,,
418,92200,38253,West Chester University of Pennsylvania,West Chester,PA,Public,,17306,24704,5743,69,15851,23.5,,1040,1210,21,26,,www.wcupa.edu,,,
419,79200,46500,Goshen College,Goshen,IN,Private,,950,37730,23958,64,921,23.5,,980,1233,19,28,,www.goshen.edu,,,
420,83600,54065,Agnes Scott College,Decatur,GA,Private,,981,33586,29066,66,921,0,,,,,,,www.agnesscott.edu,,,
421,80100,46076,Maryville University of Saint Louis,St. Louis,MO,Private,,7689,36740,12346,92,3486,24,,983,1265,21,27,,www.maryville.edu,,,
422,95400,38435,Montclair State University,Montclair,NJ,Public,,21013,22853,9983,71,18785,0,,990,1150,,,,www.montclair.edu,,,
423,106800,42093,Oregon Institute of Technology,Klamath Falls,OR,Public,,7358,16286,5674,61,5486,23.5,,1040,1230,21,26,,www.oit.edu,,,
424,99300,56750,Albion College,Albion,MI,Private,,1568,20402,34181,71,1476,23,,1010,1200,20,26,,www.albion.edu,,,
425,86600,35614,University of North Florida,Jacksonville,FL,Public,,16531,30205,7267,59,16309,23.5,,1090,1280,21,26,,www.unf.edu,,,
426,99500,38599,San Francisco State University,San Francisco,CA,Public,,29758,20333,8470,70,29485,21,,950,1150,18,24,,www.sfsu.edu,,,
427,96200,38121,Montana State University,Bozeman,MT,Public,,16613,22323,5661,83,15848,24.5,,1090,1300,21,28,,www.montana.edu,,,
428,84300,51105,High Point University,High Point,NC,Private,,4951,33036,10331,81,4608,24,,1050,1240,21,27,,www.highpoint.edu,,,
429,95600,61409,Whittier College,Whittier,CA,Private,,1987,22839,28841,74,1660,24,,1010,1220,21,27,,www.whittier.edu,,,
430,88400,59200,Eckerd College,St. Petersburg,FL,Private,,2200,28308,23182,73,2037,26,,1060,1260,23,29,,www.eckerd.edu,,,
431,87600,41472,University of Louisville,Louisville,KY,Public,,21402,29171,9589,75,18009,25,,1070,1290,22,28,,louisville.edu,,,
432,94100,38410,Mississippi State University,Starkville,MS,Public,,21883,23663,10003,62,19554,24.5,,,,21,28,,www.msstate.edu,,,
433,91500,43708,University of Tampa,Tampa,FL,Private,,8895,25194,12304,53,8101,24.5,,1070,1230,22,27,,www.ut.edu,,,
434,94200,32434,"California State University, Stanislaus",Turlock,CA,Public,,10327,23652,8875,77,9299,0,,,,,,,www.csustan.edu,,,
435,97700,37624,University of Idaho,Moscow,ID,Public,,12072,21291,6993,73,11344,23,,1010,1230,20,26,,www.uidaho.edu,,,
436,90600,55954,Cornell College (IA),Mount Vernon,IA,Private,,1009,26175,26957,65,1006,26,,1100,1340,23,29,,www.cornellcollege.edu/index.shtml,,,
437,92100,60134,Washington &amp; Jefferson College,Washington,PA,Private,,1424,24795,29017,48,1412,0,,,,,,,www.washjeff.edu,,,
438,93300,36706,Ohio University,Athens,OH,Public,,29369,24140,6291,74,26467,24,,1080,1260,22,26,,www.ohio.edu,,,
439,86000,61374,Stetson University,DeLand,FL,Private,,4252,30480,30974,68,3213,0,,,,,,,www.stetson.edu/home,,,
440,95300,57868,Moravian College,Bethlehem,PA,Private,,2446,23064,25900,76,2195,24,,1010,1210,21,27,,www.moravian.edu,,,
441,90900,48300,Abilene Christian University,Abilene,TX,Private,,5145,25710,18599,58,3806,23.5,,1025,1220,21,26,,www.acu.edu,,,
442,95700,29542,"University of Minnesota, Duluth",Duluth,MN,Public,,11168,22810,7100,77,10490,24,,1050,1280,22,26,,www.d.umn.edu,,,
443,85800,37234,Stockton University,Galloway,NJ,Public,,9216,30820,12270,82,9105,22,,1010,1200,19,25,,www.stockton.edu,,,
444,99700,45735,University of Rhode Island,Kingston,RI,Public,,18089,20221,10834,70,16255,24.5,,1050,1230,22,27,,www.uri.edu,,,
445,93900,33264,Utah State University,Logan,UT,Public,,29784,23729,8145,89,27679,24,,1000,1220,21,27,,www.usu.edu,,,
446,93700,45300,Saint Mary's University of Minnesota,Winona,MN,Private,,5754,23827,21359,64,1883,22.5,,960,1210,20,25,,www.smumn.edu,,,
447,94600,55830,McDaniel College,Westminster,MD,Private,,2819,23393,30807,85,1646,24.5,,1060,1230,21,28,,https://www.mcdaniel.edu,,,
448,92900,51228,North Central College,Naperville,IL,Private,,2965,24355,23128,54,2883,24.5,,1063,1323,22,27,,northcentralcollege.edu/home,,,
449,90700,59306,Bellarmine University,Louisville,KY,Private,,3757,26075,28601,89,2903,24.5,,1050,1210,22,27,,www.bellarmine.edu,,,
450,88000,33812,"SUNY, College at Oneonta",Oneonta,NY,Public,,6358,28540,7634,60,6150,23,,1040,1190,21,25,,www.oneonta.edu/home/default.asp,,,
451,93800,33818,"SUNY, Farmingdale State College",Farmingdale,NY,Public,,12307,23799,7438,59,9574,21,,980,1140,19,23,,www.farmingdale.edu,,,
452,91500,54260,University of New England,Biddeford,ME,Private,,8798,25273,19228,81,8281,23.5,,1030,1210,21,26,,www.une.edu,,,
453,94700,59780,Susquehanna University,Selinsgrove,PA,Private,,2370,23362,30386,70,2351,0,,,,,,,www.susqu.edu,,,
454,99900,37712,West Virginia University,Morgantown,WV,Public,,28406,20204,8964,72,24183,24,,1020,1210,21,27,,www.wvu.edu,,,
455,90500,59826,University of La Verne,La Verne,CA,Private,,8159,26264,24969,48,6653,22,,1020,1193,19,25,,laverne.edu,,,
456,87200,36800,"University of Alabama, Birmingham",Birmingham,AL,Public,,20902,29815,9254,92,13308,24.5,,990,1370,21,28,,www.uab.edu,,,
457,97100,37914,Sonoma State University,Rohnert Park,CA,Public,,9481,21870,7277,82,9244,21.5,,980,1170,19,24,,www.sonoma.edu,,,
458,90000,52172,Canisius College,Buffalo,NY,Private,,3464,26838,26244,78,2861,25,,1040,1260,22,28,,www.canisius.edu,,,
459,77900,44408,Houghton College,Houghton,NY,Private,,1231,38823,22690,91,1043,25.5,,1060,1320,22,29,,www.houghton.edu,,,
460,90400,52178,Hamline University,Saint Paul,MN,Private,,3734,26450,26309,69,2346,23,,1015,1260,20,26,,www.hamline.edu,,,
461,80200,37600,Ouachita Baptist University,Arkadelphia,AR,Private,,1648,36690,17776,71,1545,24.5,,1020,1260,21,28,,www.obu.edu,,,
462,99200,60350,Ohio Wesleyan University,Delaware,OH,Private,,1712,20493,31028,71,1560,0,,,,,,,www.owu.edu,,,
463,88300,52414,Birmingham-Southern College,Birmingham,AL,Private,,1325,28322,26594,62,1283,26,,1030,1260,23,29,,www.bsc.edu,,,
464,71600,35394,Berea College,Berea,KY,Private,,1710,43969,33422,35,1670,24.5,,970,1200,22,27,,www.berea.edu,,,
465,85100,59327,Roanoke College,Salem,VA,Private,,2087,32190,26726,67,2035,24.5,,1040,1230,22,27,,roanoke.edu,,,
466,95600,44114,"University of Colorado, Denver",Denver,CO,Public,,24839,22828,6251,65,19806,24,,1060,1280,21,27,,www.cu.edu,,,
467,88300,48879,Saint Vincent College,Latrobe,PA,Private,,1865,28327,25507,62,1720,23,,1020,1210,20,26,,www.stvincent.edu,,,
468,85400,51642,Spelman College,Atlanta,GA,Private,,2166,31452,13647,40,2137,24,,1070,1215,22,26,,www.spelman.edu,,,
469,101100,37622,"California State University, Sacramento",Sacramento,CA,Public,,31255,19340,8984,68,30445,20,,940,1140,17,23,,www.csus.edu,,,
470,105400,52056,Wittenberg University,Springfield,OH,Private,,2053,17041,26135,72,1884,0,,,,,,,www.wittenberg.edu,,,
471,91900,26052,South Dakota State University,Brookings,SD,Public,,13103,25007,4201,91,12516,23,,980,1260,20,26,,www.sdstate.edu,,,
472,86900,55240,Coe College,Cedar Rapids,IA,Private,,1476,30106,31543,56,1394,25,,1073,1326,22,28,,www.coe.edu,,,
473,85400,38277,East Carolina University,Greenville,NC,Public,,29131,31592,8225,79,25207,22,,1030,1180,20,24,,www.ecu.edu,,,
474,97300,34007,"California State University, Northridge",Northridge,CA,Public,,41319,21490,9782,58,37184,19.5,,910,1120,17,22,,www.csun.edu,,,
475,103900,36881,University of Alabama in Huntsville,Huntsville,AL,Public,,9101,17784,9587,81,7519,28,,1080,1330,25,31,,www.uah.edu,,,
476,85100,51293,Mercer University,Macon,GA,Private,,8653,32240,28528,73,5057,27.5,,1170,1340,25,30,,www.mercer.edu,,,
477,87900,45408,Oklahoma City University,Oklahoma City,OK,Private,,2845,28943,18588,72,1983,25.5,,1110,1280,23,28,,www.okcu.edu,,,
478,99000,59700,Rider University,Lawrenceville,NJ,Private,,5073,20539,25766,67,4371,22.5,,990,1190,19,26,,www.rider.edu,,,
479,88600,55402,Loyola University New Orleans,New Orleans,LA,Private,,3759,27875,27972,69,2766,25,,1080,1270,22,28,,www.loyno.edu,,,
480,89800,49149,Nova Southeastern University,Fort-Lauderdale-Davie,FL,Private,,20793,27137,19075,58,4840,25.5,,1080,1280,23,28,,www.nova.edu,,,
481,82100,29314,Grand Valley State University,Allendale,MI,Public,,25049,35290,6374,81,24282,23.5,,1050,1230,21,26,,www.gvsu.edu,,,
482,91200,35804,Florida Atlantic University,Boca Raton,FL,Public,,31454,25455,8635,60,30208,23.5,,1060,1220,21,26,,www.fau.edu,,,
483,82400,43650,Northwestern College (IA),Orange City,IA,Private,,1243,35077,19343,68,1131,24,,995,1235,21,27,,www.nwciowa.edu,,,
484,94000,57488,Pacific University (OR),Forest Grove,OR,Private,,3893,23699,26103,84,1995,24.5,,1070,1260,22,27,,www.pacificu.edu,,,
485,92600,37081,"University of North Carolina, Charlotte",Charlotte,NC,Public,,29317,24525,7385,66,26758,24,,1110,1270,22,26,,www.uncc.edu,,,
486,95100,42377,Tennessee Technological University,Cookeville,TN,Public,,10504,23144,9050,64,10215,24.5,,1010,1250,21,28,,www.tntech.edu,,,
487,83700,40448,Ball State University,Muncie,IN,Public,,22513,33480,10658,62,19231,22,,1080,1240,20,24,,cms.bsu.edu,,,
488,88500,50000,Elmhurst College,Elmhurst,IL,Private,,3481,28095,21852,71,3122,23,,985,1210,20,26,,https://www.elmhurst.edu,,,
489,103100,35111,Touro College,New York,NY,Private,,11908,18093,6815,74,8622,0,,,,,,,www.touro.edu,,,
490,84800,41261,"CUNY, John Jay College of Criminal Justice",New York,NY,Public,,15583,32731,9007,39,14834,0,,980,1130,,,,www.jjay.cuny.edu,,,
491,83500,34532,"CUNY, Lehman College",New York,NY,Public,,15231,33814,10685,35,14130,0,,970,1100,,,,www.lehman.cuny.edu,,,
492,103500,36990,"California State University, East Bay",Hayward,CA,Public,,16538,17935,9402,74,14691,0,,,,,,,www.csueastbay.edu,,,
493,87900,25521,University of South Dakota,Vermillion,SD,Public,,10261,28961,5145,87,9416,22.5,,1010,1230,20,25,,www.usd.edu,,,
494,76100,36638,"University of North Carolina, Asheville",Asheville,NC,Public,,4429,40676,8060,80,3852,25,,1080,1260,22,28,,www.unca.edu,,,
495,80000,33954,Ashland University,Ashland,OH,Private,,6781,36929,12432,74,6471,22.5,,965,1180,20,25,,www.ashland.edu,,,
496,88600,50180,Simpson College (IA),Indianola,IA,Private,,1695,27925,25683,84,1479,24,,1070,1220,21,27,,simpson.edu,,,
497,87500,40607,"University of Missouri, Saint Louis",St. Louis,MO,Public,,17095,29219,12471,76,16715,24.5,,1065,1225,22,27,,www.umsl.edu,,,
498,82500,49900,Florida Southern College,Lakeland,FL,Private,,3055,34928,21189,51,2759,26.5,,1070,1250,24,29,,https://www.flsouthern.edu,,,
499,93800,36726,"California State University, Los Angeles",Los Angeles,CA,Public,,28531,23792,9553,46,24862,17.5,,890,1080,15,20,,www.calstatela.edu,,,
500,87500,36127,"California State University, San Bernardino",San Bernardino,CA,Public,,20692,29184,9287,57,19244,18.5,,910,1090,16,21,,www.csusb.edu,,,
501,99500,39860,"University of Texas, Arlington",Arlington,TX,Public,,46497,20343,8484,71,42966,23.5,,1060,1270,20,27,,www.uta.edu,,,
502,98852,43404,"University of Northwestern, St. Paul",Saint Paul,MN,Private,,3702,3843,17134,93,3521,24,,970,1235,21,27,,www.nwc.edu,,,
503,108400,47482,Lawrence Technological University,Southfield,MI,Private,,3069,15693,17291,60,2268,24.5,,950,1330,21,28,,https://www.ltu.edu,,,
504,79500,32385,Mississippi College,Clinton,MS,Private,,5036,37247,13649,39,3513,25.5,,1070,1290,22,29,,www.mc.edu,,,
505,85600,28094,University of North Georgia,Dahlonega,GA,Public,,20811,31268,5483,78,18782,22.5,,910,1130,20,25,,www.ung.edu,,,
506,83500,44962,Webster University,St. Louis,MO,Private,,12736,33848,17927,54,3732,23.5,,1040,1253,21,26,,www.webster.edu,,,
507,90100,33908,University of North Texas,Denton,TX,Public,,38276,26717,10638,72,35099,24,,1060,1260,21,27,,www.unt.edu,,,
508,90600,34245,Texas State University,San Marcos,TX,Public,,38666,26218,8129,73,37449,23,,1020,1200,20,26,,www.txstate.edu,,,
509,95000,43618,University of Maine,Orono,ME,Public,,11240,23310,8544,92,10304,24.5,,1050,1250,22,27,,www.umaine.edu,,,
510,88800,50547,Central College,Pella,IA,Private,,1433,27573,26389,70,1237,23.5,,950,1220,21,26,,www.central.edu,,,
511,96500,44430,Christian Brothers University,Memphis,TN,Private,,2157,22193,23780,53,1919,24,,,,21,27,,www.cbu.edu/admissions,,,
512,97500,54780,Manhattanville College,Purchase,NY,Private,,2690,21433,26213,82,1802,0,,,,,,,www.mville.edu,,,
513,90800,40873,Georgia State University,Atlanta,GA,Public,,32816,26037,10090,70,29773,22.5,,1040,1220,19,26,,www.gsu.edu,,,
514,94500,47928,William Jewell College,Liberty,MO,Private,,1082,23416,25621,48,933,25.5,,990,1240,23,28,,www.jewell.edu/home,,,
515,90000,40705,Northern Arizona University,Flagstaff,AZ,Public,,31051,26838,10044,81,29609,0,,,,,,,nau.edu,,,
516,87700,49546,Westminster College (PA),New Wilmington,PA,Private,,1289,29120,25476,72,1263,23.5,,990,1220,20,27,,www.westminster.edu,,,
517,86800,28502,Missouri State University,Springfield,MO,Public,,23697,30187,5480,84,22856,23.5,,1020,1245,21,26,,www.missouristate.edu,,,
518,89500,34522,"University of Nebraska, Omaha",Omaha,NE,Public,,15731,27341,6485,87,14610,22.5,,840,1102,19,26,,www.unomaha.edu,,,
519,80000,39434,Florida Gulf Coast University,Fort Myers,FL,Public,,15317,36906,4726,64,14965,23,,1060,1210,21,25,,www.fgcu.edu,,,
520,77100,49324,Meredith College,Raleigh,NC,Private,,1980,39228,21258,69,1789,22.5,,1000,1195,20,25,,www.meredith.edu,,,
521,82100,41347,College of Idaho,Caldwell,ID,Private,,999,35172,18125,76,954,0,,,,,,,www.collegeofidaho.edu,,,
522,86500,44150,Carroll University,Waukesha,WI,Private,,3452,30373,18551,71,3048,23.5,,975,1210,21,26,,www.carrollu.edu,,,
523,89900,43444,Old Dominion University,Norfolk,VA,Public,,24375,27022,7270,86,22386,21.5,,980,1200,18,25,,odu.edu,,,
524,97500,59392,Mount Saint Mary's University (CA),Los Angeles,CA,Private,,3226,21374,23270,81,3100,18.5,,920,1120,16,21,,www.msmc.la.edu/index.asp,,,
525,85000,39714,Andrews University,Berrien Springs,MI,Private,,3300,32718,16809,58,2250,25,,1040,1320,21,29,,www.andrews.edu,,,
526,85000,55923,Lynn University,Boca Raton,FL,Private,,3010,32720,14306,85,2245,0,,,,,,,www.lynn.edu,,,
527,82800,46004,Baldwin Wallace University,Berea,OH,Private,,3791,34550,19781,78,3577,0,,,,,,,www.bw.edu,,,
528,85600,46390,Otterbein University,Westerville,OH,Private,,2936,31230,20110,76,2608,24,,1040,1305,21,27,,www.otterbein.edu,,,
529,95400,46941,University of Massachusetts Boston,Boston,MA,Public,,16415,22927,11342,75,15848,23.5,,1040,1220,21,26,,www.umb.edu,,,
530,86600,48776,Queens University of Charlotte,Charlotte,NC,Private,,2507,30243,22152,79,1906,23.5,,1010,1198,21,26,,www.queens.edu,,,
531,90900,28278,"Minnesota State University, Mankato",Mankato,MN,Public,,15273,25747,5108,61,14712,22,,,,20,24,,www.mnsu.edu,,,
532,90500,43989,Portland State University,Portland,OR,Public,,27483,26297,6772,92,26693,22,,990,1220,19,25,,www.pdx.edu,,,
533,98896,40510,Westminster College (MO),Fulton,MO,Private,,972,3792,18133,90,767,23.5,,1015,1175,21,26,,www.westminster-mo.edu,,,
534,87100,35653,University of Northern Colorado,Greeley,CO,Public,,13399,29956,7708,89,11278,22,,1000,1240,19,25,,www.unco.edu,,,
535,89600,52341,Ripon College,Ripon,WI,Private,,813,27254,28951,68,756,23,,1040,1260,20,26,,www.ripon.edu,,,
536,94300,50104,Marietta College,Marietta,OH,Private,,1220,23579,22617,67,1145,22.5,,960,1215,20,25,,www.marietta.edu,,,
537,89900,31784,Sam Houston State University,Huntsville,TX,Public,,20938,27004,8976,74,19784,21,,1000,1140,19,23,,shsu.edu,,,
538,95300,44490,St. Mary's University (TX),San Antonio,TX,Private,,3649,23100,22029,80,2432,23,,1040,1230,20,26,,https://www.stmarytx.edu,,,
539,81700,42830,Illinois College,Jacksonville,IL,Private,,987,35329,24557,55,959,0,,,,,,,www.ic.edu,,,
540,93200,36708,Central Washington University,Ellensburg,WA,Public,,15944,24245,7096,86,12901,20.5,,910,1100,17,24,,www.cwu.edu,,,
541,85300,46710,Doane University,Crete,NE,Private,,1072,31815,20109,65,1069,22.5,,,,20,25,,www.doane.edu,,,
542,101600,54662,University of Hartford,West Hartford,CT,Private,,6561,19128,21526,81,6259,24,,1030,1230,21,27,,www.hartford.edu,,,
543,82600,54840,Hood College,Frederick,MD,Private,,2112,34839,26864,81,1214,0,,,,,,,www.hood.edu,,,
544,90900,36298,University of Colorado Colorado Springs,Colorado Springs,CO,Public,,14122,25937,5682,93,12932,23.5,,1040,1250,21,26,,www.uccs.edu,,,
545,82600,50716,St. Catherine University,St. Paul,MN,Private,,4724,34838,26729,70,3747,23,,1040,1310,20,26,,www.stkate.edu,,,
546,93000,56618,Fairleigh Dickinson University,Teaneck,NJ,Private,,7846,24334,31560,88,6168,22.5,,1002,1200,20,25,,view.fdu.edu/default.aspx?id=320,,,
547,84700,38569,Millersville University,Millersville,PA,Public,,7915,32898,5668,79,7720,0,,970,1160,,,,https://www.millersville.edu,,,
548,90400,37639,"University of Nevada, Las Vegas",Las Vegas,NV,Public,,30471,26532,4998,81,27561,21.5,,1030,1240,19,24,,www.unlv.edu,,,
549,82500,41996,Wisconsin Lutheran College,Milwaukee,WI,Private,,1198,35021,18027,90,1114,23,,1008,1278,20,26,,www.wlc.edu,,,
550,98940,54225,Randolph College,Lynchburg,VA,Private,,691,3318,26264,86,684,22,,950,1190,19,25,,www.randolphcollege.edu,,,
551,94600,39124,"CUNY, College of Staten Island",Staten Island,NY,Public,,15245,23366,7929,91,13594,0,,,,,,,www.csi.cuny.edu,,,
552,85600,46770,Vanguard University,Costa Mesa,CA,Private,,2394,31138,22396,47,2116,21,,930,1120,18,24,,www.vanguard.edu,,,
553,88100,45960,Immaculata University,Immaculata,PA,Private,,2481,28464,21301,83,1906,20,,950,1170,17,23,,www.immaculata.edu,,,
554,91000,53870,Lycoming College,Williamsport,PA,Private,,1404,25672,31000,64,1217,23,,988,1200,21,25,,www.lycoming.edu,,,86
555,92500,38503,"University of Louisiana, Lafayette",Lafayette,LA,Public,,17556,24529,7899,51,17297,23.5,,820,1180,21,26,,www.louisiana.edu,,,
556,98984,37296,Huntington University,Huntington,IN,Private,,1321,3170,17623,81,1146,22,,950,1170,20,24,,huntington.edu,,,
557,78000,54205,Hollins University,Roanoke,VA,Private,,790,38763,32492,48,674,25.5,,1110,1295,23,28,,www.hollins.edu/index.shtml,,,
558,89400,48016,Benedictine University,Lisle,IL,Private,,5100,27410,18272,62,3731,22,,916,1100,19,25,,www.ben.edu,,,
559,76600,35818,"University of North Carolina, Greensboro",Greensboro,NC,Public,,19922,40336,9017,78,18091,22.5,,1030,1180,20,25,,www.uncg.edu,,,
560,86500,52030,King's College (PA),Wilkes-Barre,PA,Private,,2469,30299,21560,71,2244,0,,,,,,,www.kings.edu,,,
561,87100,43527,Hastings College,Hastings,NE,Private,,1227,29902,19652,68,1202,22.5,,970,1150,20,25,,www.hastings.edu,,,
562,88000,33646,Georgia Southern University,Statesboro,GA,Public,,20418,28768,6648,68,20314,24,,1100,1230,22,26,,www.georgiasouthern.edu,,,
563,90100,37774,Southern Illinois University Edwardsville,Edwardsville,IL,Public,,13796,26766,6756,90,13294,23,,980,1225,20,26,,www.siue.edu,,,
564,92200,27895,Western Michigan University,Kalamazoo,MI,Public,,22869,24745,7894,82,19990,23,,960,1190,20,26,,wmich.edu,,,
565,70800,40575,Asbury University,Wilmore,KY,Private,,1990,47116,15833,70,1772,24.5,,980,1280,21,28,,www.asbury.edu,,,
566,93300,36581,Oakland University,Rochester,MI,Public,,19333,24165,9476,84,19321,24,,1010,1230,21,27,,www.oakland.edu,,,
567,94000,36736,University of New Mexico,Albuquerque,NM,Public,,26221,23687,6847,67,23124,22,,930,1170,19,25,,www.unm.edu,,,
568,92200,35750,Bloomsburg University of Pennsylvania,Bloomsburg,PA,Public,,9729,24722,5720,73,9260,21.5,,970,1150,19,24,,www.bloomu.edu,,,
569,86400,37248,Boise State University,Boise,ID,Public,,24121,30427,8258,84,23634,23.5,,940,1160,21,26,,www.boisestate.edu,,,
570,99071,54969,College of the Atlantic,Bar Harbor,ME,Private,,390,2540,37756,68,354,0,,,,,,,www.coa.edu/index.htm,,,
571,81200,29995,"University of Texas, Rio Grande Valley",Edinburg,TX,Public,,27809,35540,9398,80,27807,19.5,,950,1120,17,22,,www.utrgv.edu,,,
572,75300,49266,Maryville College,Maryville,TN,Private,,1247,40976,27778,49,1181,23.5,,930,1150,20,27,,www.maryvillecollege.edu,,,
573,85100,41054,Oral Roberts University,Tulsa,OK,Private,,3919,32623,19393,93,3781,23,,990,1210,20,26,,www.oru.edu,,,
574,101800,32563,"University of Alaska, Fairbanks",Fairbanks,AK,Public,,11866,18814,7457,77,7664,21,,1030,1270,17,25,,www.alaska.edu,,,
575,99190,54180,Randolph-Macon College,Ashland,VA,Private,,1491,0,25338,62,1453,24,,1050,1233,21,27,,www.rmc.edu,,,
576,112600,35755,Montana Tech of the University of Montana,Butte,MT,Public,,2155,14490,6405,92,1909,24.5,,1115,1300,22,27,,www.mtech.edu,,,
577,99151,65456,"St. John's College, Santa Fe",Santa Fe,NM,Private,,386,1298,31845,63,354,27.5,,1190,1350,23,32,,www.sjca.edu,,,
578,88200,43022,"Indiana University-Purdue University, Indianapolis",Indianapolis,IN,Public,,29791,28362,11347,80,25516,22.5,,995,1190,19,26,,www.iupui.edu,,,
579,99200,57627,Hartwick College,Oneonta,NY,Private,,1435,20511,29494,89,1201,23.5,,920,1100,21,26,,www.hartwick.edu,,,
580,92000,43686,Alfred University,Alfred,NY,Private,,2354,24829,20676,63,2017,23.5,,990,1210,21,26,,www.alfred.edu,,,
581,76600,39840,Oklahoma Baptist University,Shawnee,OK,Private,,2093,39973,18708,65,2056,23,,960,1150,20,26,,www.okbu.edu,,,
582,89900,52475,Alma College,Alma,MI,Private,,1484,26865,28481,64,1426,23.5,,1030,1230,20,27,,www.alma.edu,,,
583,91600,28920,Saint Cloud State University,St. Cloud,MN,Public,,15955,25192,5216,86,14975,21,,958,1188,18,24,,www.stcloudstate.edu,,,
584,85100,48674,Capital University,Columbus,OH,Private,,3384,32210,25272,69,3120,24.5,,1075,1245,22,27,,www.capital.edu,,,
585,73600,38364,Liberty University,Lynchburg,VA,Private,,75044,43965,10400,30,60084,24,,1040,1240,21,27,,www.liberty.edu,,,
586,81100,45397,Russell Sage College,Troy,NY,Private,,2525,35671,21706,56,1560,0,,,,,,,www.sage.edu/rsc,,,
587,71000,34190,Converse College,Spartanburg,SC,Private,,1478,46277,12497,71,906,23,,970,1160,20,26,,www.converse.edu,,,
588,91400,53490,Oglethorpe University,Atlanta,GA,Private,,1589,25306,27532,58,1250,25,,1110,1310,22,28,,www.oglethorpe.edu,,,
